DATE,USPBS
2016-04-01,20029
2016-05-01,20033
2016-06-01,20074
2016-07-01,20123
2016-08-01,20135
2016-09-01,20210
2016-10-01,20221
2016-11-01,20256
2016-12-01,20286
2017-01-01,20336
2017-02-01,20340
2017-03-01,20373
2017-04-01,20403
2017-05-01,20454
2017-06-01,20491
2017-07-01,20537
2017-08-01,20573
2017-09-01,20586
2017-10-01,20627
2017-11-01,20662
2017-12-01,20693
2018-01-01,20730
2018-02-01,20774
2018-03-01,20816
2018-04-01,20878
2018-05-01,20929
2018-06-01,20980
2018-07-01,21017
2018-08-01,21075
2018-09-01,21128
2018-10-01,21183
2018-11-01,21217
2018-12-01,21254
2019-01-01,21259
2019-02-01,21313
2019-03-01,21332
2019-04-01,21387
2019-05-01,21408
2019-06-01,21446
2019-07-01,21484
